Provinsi,Tahun,Jenis_Tanaman,Produksi,Curah_Hujan_mm,Hari_Hujan,Suhu_Rata_C,Tekanan_Udara_mb,Penyinaran_Matahari_pct
ACEH,2000,Jagung,36642.0,1974.7,61.0,27.18,1010.16,54.4
ACEH,2000,Kacang_Hijau,3986.0,1974.7,61.0,27.18,1010.16,54.4
ACEH,2000,Kacang_Tanah,9179.0,1974.7,61.0,27.18,1010.16,54.4
ACEH,2000,Kedelai,71576.0,1974.7,61.0,27.18,1010.16,54.4
ACEH,2000,Padi,1404580.0,1974.7,61.0,27.18,1010.16,54.4
ACEH,2000,Ubi_Jalar,24594.0,1974.7,61.0,27.18,1010.16,54.4
ACEH,2000,Ubi_Kayu,65208.0,1974.7,61.0,27.18,1010.16,54.4
ACEH,2001,Jagung,51232.0,1688.7,61.0,28.93,1010.16,54.4
ACEH,2001,Kacang_Hijau,1785.0,1688.7,61.0,28.93,1010.16,54.4
ACEH,2001,Kacang_Tanah,5047.0,1688.7,61.0,28.93,1010.16,54.4
ACEH,2001,Kedelai,63127.0,1688.7,61.0,28.93,1010.16,54.4
ACEH,2001,Padi,1246614.0,1688.7,61.0,28.93,1010.16,54.4
ACEH,2001,Ubi_Jalar,16695.0,1688.7,61.0,28.93,1010.16,54.4
ACEH,2001,Ubi_Kayu,44387.0,1688.7,61.0,28.93,1010.16,54.4
ACEH,2002,Jagung,60105.0,1296.8,61.0,29.21,1010.16,54.4
ACEH,2002,Kacang_Hijau,4242.0,1296.8,61.0,29.21,1010.16,54.4
ACEH,2002,Kacang_Tanah,7377.0,1296.8,61.0,29.21,1010.16,54.4
ACEH,2002,Kedelai,21522.0,1296.8,61.0,29.21,1010.16,54.4
ACEH,2002,Padi,1314165.0,1296.8,61.0,29.21,1010.16,54.4
ACEH,2002,Ubi_Jalar,17285.0,1296.8,61.0,29.21,1010.16,54.4
ACEH,2002,Ubi_Kayu,52126.0,1296.8,61.0,29.21,1010.16,54.4
ACEH,2003,Jagung,67386.0,1507.2,61.0,29.48,1009.83,54.4
ACEH,2003,Kacang_Hijau,3728.0,1507.2,61.0,29.48,1009.83,54.4
ACEH,2003,Kacang_Tanah,16887.0,1507.2,61.0,29.48,1009.83,54.4
ACEH,2003,Kedelai,18697.0,1507.2,61.0,29.48,1009.83,54.4
ACEH,2003,Padi,1547499.0,1507.2,61.0,29.48,1009.83,54.4
ACEH,2003,Ubi_Jalar,23568.0,1507.2,61.0,29.48,1009.83,54.4
ACEH,2003,Ubi_Kayu,75286.0,1507.2,61.0,29.48,1009.83,54.4
ACEH,2004,Jagung,77747.0,1108.85,61.0,28.69,1009.83,54.4
ACEH,2004,Kacang_Hijau,6132.0,1108.85,61.0,28.69,1009.83,54.4
ACEH,2004,Kacang_Tanah,14687.0,1108.85,61.0,28.69,1009.83,54.4
ACEH,2004,Kedelai,31170.0,1108.85,61.0,28.69,1009.83,54.4
ACEH,2004,Padi,1552078.0,1108.85,61.0,28.69,1009.83,54.4
ACEH,2004,Ubi_Jalar,22938.0,1108.85,61.0,28.69,1009.83,54.4
ACEH,2004,Ubi_Kayu,63867.0,1108.85,61.0,28.69,1009.83,54.4
ACEH,2005,Jagung,94426.0,710.5,61.0,26.8,1009.1,54.4
ACEH,2005,Kacang_Hijau,4855.0,710.5,61.0,26.8,1009.1,54.4
ACEH,2005,Kacang_Tanah,15597.0,710.5,61.0,26.8,1009.1,54.4
ACEH,2005,Kedelai,31067.0,710.5,61.0,26.8,1009.1,54.4
ACEH,2005,Padi,1411650.0,710.5,61.0,26.8,1009.1,54.4
ACEH,2005,Ubi_Jalar,22985.0,710.5,61.0,26.8,1009.1,54.4
ACEH,2005,Ubi_Kayu,53424.0,710.5,61.0,26.8,1009.1,54.4
ACEH,2006,Jagung,96838.0,506.7,61.0,26.73,1009.5,54.4
ACEH,2006,Kacang_Hijau,3373.0,506.7,61.0,26.73,1009.5,54.4
ACEH,2006,Kacang_Tanah,11091.0,506.7,61.0,26.73,1009.5,54.4
ACEH,2006,Kedelai,25495.0,506.7,61.0,26.73,1009.5,54.4
ACEH,2006,Padi,1350748.0,506.7,61.0,26.73,1009.5,54.4
ACEH,2006,Ubi_Jalar,16238.0,506.7,61.0,26.73,1009.5,54.4
ACEH,2006,Ubi_Kayu,46504.0,506.7,61.0,26.73,1009.5,54.4
ACEH,2007,Jagung,125155.0,857.05,113.0,26.86,1009.3,52.05
ACEH,2007,Kacang_Hijau,3395.0,857.05,113.0,26.86,1009.3,52.05
ACEH,2007,Kacang_Tanah,7972.0,857.05,113.0,26.86,1009.3,52.05
ACEH,2007,Kedelai,19025.0,857.05,113.0,26.86,1009.3,52.05
ACEH,2007,Padi,1533369.0,857.05,113.0,26.86,1009.3,52.05
ACEH,2007,Ubi_Jalar,15187.0,857.05,113.0,26.86,1009.3,52.05
ACEH,2007,Ubi_Kayu,41558.0,857.05,113.0,26.86,1009.3,52.05
ACEH,2008,Jagung,112894.0,1207.4,165.0,27.0,1009.1,49.7
ACEH,2008,Kacang_Hijau,1777.0,1207.4,165.0,27.0,1009.1,49.7
ACEH,2008,Kacang_Tanah,6322.0,1207.4,165.0,27.0,1009.1,49.7
ACEH,2008,Kedelai,43885.0,1207.4,165.0,27.0,1009.1,49.7
ACEH,2008,Padi,1402287.0,1207.4,165.0,27.0,1009.1,49.7
